alphaRaw16-1,alphaRaw16-2,alphaRaw16-3,alphaRaw16-4,alphaRaw24-1,alphaRaw24-2,alphaRaw24-3,alphaRaw24-4,alphaGrad-1,alphaGrad-2,alphaGrad-3,alphaGrad-4,grad-x,grad-y,grad-z,grad-xz,grad-yz,grad-rx,grad-ry,grad-rz,gradsum-xy,gradsum-xz,gradsum-yz,gradratio-xy,gradratio-xz,gradratio-yz,gradstddev-x,gradstddev-y,gradstddev-z,xpeaks,ypeaks,avg,stddev,moment-2,moment-3,moment-4,class
0.319961,0.680039,0,0,0.37246,0.62754,0,0,0,1,0,0,0.059913,0.052614,0.019137,0.04159,0.036554,-0.001956,0.004339,-0.000042,0.112527,0.07905,0.07175,1.138743,3.130823,2.749368,118.570319,117.496807,0.019799,2,4,0.99689,0.715565,1.505815,2.916028,6.574638,a2c
1,0,0,0,1,0,0,0,0.600549,0,0.07578,0.32367,0.045075,0.044472,0.015679,0.025827,0.028032,-0.002541,0.000027,0.000081,0.089547,0.060754,0.060152,1.01355,2.874797,2.836366,132.947034,163.951451,0.015722,2,3,0.881314,0.684773,1.245621,2.247186,4.711829,a2c
0.521606,0.031064,0,0.44733,0.314929,0.133013,0,0.552058,0,0.714385,0.285615,0,0.060638,0.068539,0.020977,0.035945,0.037317,-0.002177,0.013129,0.000059,0.129177,0.081615,0.089516,0.884725,2.890675,3.267317,176.865001,263.190687,0.02495,2,4,1.047997,0.845683,1.813461,5.09894,21.297691,a2c
0.756619,0.243381,0,0,0.829552,0.170448,0,0,1,0,0,0,0.049449,0.042303,0.015189,0.030718,0.031186,-0.002905,0.000406,0.000002,0.091752,0.064638,0.057493,1.168908,3.255464,2.785046,279.972687,172.666808,0.016039,3,4,0.806685,0.626944,1.043794,1.682611,3.048703,a2c
0.685626,0,0,0.314374,0.745711,0,0,0.254289,0.275185,0,0.36899,0.355825,0.039684,0.044827,0.017239,0.042632,0.048631,-0.002,0.007693,0.000005,0.084511,0.056923,0.062066,0.885271,2.302017,2.600353,379.866938,356.469431,0.02639,4,3,0.659006,0.795859,1.067669,2.464912,7.262283,a4c
0,0.932128,0,0.067872,0.001996,0.910486,0,0.087519,1,0,0,0,0.054546,0.03824,0.013174,0.035389,0.028857,0.004821,0.005839,0.000044,0.092786,0.06772,0.051414,1.426425,4.140495,2.902708,84.135156,95.448561,0.014276,4,4,0.896824,0.58934,1.15161,1.808623,3.189339,a4c
0,0.323238,0.676762,0,0,0.329494,0.670506,0,0,0.832856,0.151613,0.015531,0.056826,0.052381,0.015471,0.034369,0.030514,0.000378,0.003939,-0.00001,0.109207,0.072297,0.067852,1.084863,3.673022,3.3857,394.762963,329.040731,0.016393,3,7,0.830509,0.636945,1.095439,1.848929,3.667642,a4c
0,1,0,0,0,1,0,0,0,1,0,0,0.062302,0.050165,0.01799,0.03425,0.02978,0.000477,-0.005516,0.000036,0.112466,0.080291,0.068154,1.241945,3.463203,2.788533,338.69873,152.222938,0.017256,3,4,1.047325,0.764863,1.681897,3.611727,9.294084,a4c
0,1,0,0,0,1,0,0,0,1,0,0,0.081405,0.061934,0.016057,0.071363,0.044392,-0.000271,-0.002347,-0.000047,0.143339,0.097462,0.077991,1.314372,5.06974,3.857157,557.560588,341.373398,0.024874,41,6,0.782163,1.15065,1.935755,6.901362,29.345583,a4c
0.860208,0,0,0.139792,0.890004,0,0,0.109996,0.691907,0,0,0.308093,0.037114,0.031391,0.012077,0.027564,0.026792,-0.002435,0.004844,0.00001,0.068505,0.049191,0.043467,1.182342,3.073263,2.5993,112.008651,119.243506,0.014254,3,4,0.676221,0.567244,0.779036,1.064352,1.591315,a4c
